Short Code,Bank Name,LEI,Sample,Public,FactSet Code,Country,CDS Code,CDS,Start Date,O-SII buffer,G-SII buffer,Total,p2r  CET1
ABN,ABN Amro,BFXS5XCH7N0Y05NIXW11,Y,Y,ABN-NL,Netherlands,ABNANV CDS EUR SUB 5Y D14 Corp,SUB,1/3/2006,0.015,,0.02,0.01125
MONTE,Banca Monte dei Paschi di Siena,J4CP7MHCXR8DAQMKIL78,N,Y,BMPS-IT,Italy,MONTE CDS EUR SUB 5Y D14 Corp,SUB,1/3/2006,0.0025,,0,0.01546875
BARC,Barclays,213800LBQA1Y9L22JB70,N,Y,BARC-GB,UK,BARCLAY CDS EUR SUB 5Y D14,SUB,1/3/2006,,,,
BAY,Bayern LB,"VDYMYTQGZZ6DU09
12C88",Y,N,05HM6Z-E,Germany,BYLAN CDS EUR SR 5Y D14,SR,5/13/2019,0.005,,0.01,0.01125
BBVA,BBVA,K8MS7FD7N5Z2WQ51AZ71,Y,Y,BBVA-ES,Spain,BBVA CDS EUR SUB 5Y D14,SUB,1/3/2006,0.0075,,0.01,0.0084375
BNP,BNP Paribas,R0MUWSFPU8MPRO8K5P83,Y,Y,BNP-FR,France,BNP CDS EUR SUB 5Y D14,SUB,1/3/2006,0.015,0.02,0.02,0.007425
CAIX,Caixabank,7CUNS533WID6K7DGFI87,Y,Y,CABK-ES,Spain,CABK SM CDS EUR SUB 5Y D14,SUB,8/12/2016,0.00375,,0,0.0093
COMZ,Commerzbank,"851WYGNLUQLFZBSY
GB56",Y,Y,CBK-DE,Germany,CMZB CDS EUR SUB 5Y D14,SUB,1/3/2006,0.0125,,0.01,0.01125
CRAG,Credit Agricole,FR969500TJ5KRTCJQWXH,Y,Y,ACA-FR,France,LCL SA CDS EUR SUB 5Y D14,SUB,1/3/2006,0.01,0.01,0.01,0.0084375
CRMU,Credit Mutuel,9695000CG7B84NLR5984,Y,N,05HT2H-E,France,BFCM CDS EUR SUB 10Y D14,SUB,2/23/2010,0.005,,0.01,0.00984375
DANK,Danske Bank,MAES062Z21O4RZ2U7M96,Y,Y,DANSKE-DK,Denmark,DANBNK CDS EUR SUB 5Y D14,SUB,1/10/2006,0.03,,0.03,
DB,Deutsche Bank,"7LTWFZYICNSX8D621
K86",Y,Y,DBK-DE,Germany,DB CDS EUR SUB 5Y D14,SUB,1/3/2006,0.02,0.02,0.02,0.0140625
DZ,DZ Bank,"529900HNOAA1KXQJ
UQ27",Y,N,05HR47-E,Germany,DZBK CDS EUR SR 5Y D14,SR,6/30/2008,0.01,,0.01,0.0095625
ERST,Erste Group,PQOH26KWDF7CG10L6792,Y,Y,EBS-AT,Austria,ERSTBK CDS EUR SR 5Y D14,SR,1/3/2006,0.01,,0.02,0.00984375
SWEN,Handelsbanken,NHBDILHZTYCNBV5UYZ31,Y,Y,SHB.A-SE,Sweden,SHBASS CDS EUR SUB 5Y D14,SUB,5/14/2008,0.01,,0.01,0.010125
HESLN,Helaba,"DIZES5CFO5K3I5R587
46",Y,N,05FWJR-E,Germany,HESLAN CDS EUR SR 5Y D14,SR,5/13/2019,0.005,,0.01,0.00984375
HSBC,HSBC,MLU0ZO3ML4LN2LL2TL39,N,Y,HSBA-GB,UK,HSBC BK CDS EUR SUB 5Y D14,SUB,1/3/2006,,,,0.018225
INGB,ING,3TK20IVIUJ8J3ZU0QE75,Y,Y,INGA-NL,Netherlands,ING BK CDS EUR SUB 5Y D14,SUB,1/3/2006,0.025,0.01,0.03,0.00984375
INTE,Intesa Sanpaolo,2W8N8UU78PMDQKZENC08,Y,Y,ISP-IT,Italy,ISPIM SPA CDS EUR SUB 5Y D14,SUB,1/3/2006,0.0075,,0.01,0.01006875
KBCB,KBC,213800X3Q9LSAKRUWY91,Y,Y,KBC-BE,Belgium,KBCBB CDS EUR SUB 5Y D14,SUB,1/4/2006,0.015,,0.02,0.0104625
LBBW,LBBW,"B81CK4ESI35472RHJ6
06",Y,N,05GDRP-E,Germany,LBBW CDS EUR SR 5Y D14,SR,5/13/2019,0.0075,,0.01,0.0103
LLOYDHLCO,Lloyds,549300PPXHEU2JF0AM85,N,Y,LLOY-GB,UK,LLOYDHLCO CDS EUR SUB 5Y D14,SUB,1/3/2006,,,,
NWIDE,Nationwide,549300XFX12G42QIKN82,N,Y,NBS-GB,UK,NWIDE CDS EUR SUB 5Y D14,SUB,1/3/2006,,,,
NIBC,NIBC Bank,,N,N,,Netherlands,,,,,,,
NORD,Nordea,529900ODI3047E2LIV03,Y,Y,NDA.SE-SE,Finland,NDASS CDS EUR SUB 5Y D14,SUB,1/3/2006,0.02,,0.02,0.00984375
NDLB,NordLB,"DSNHHQ2B9X5N6OU
J1236",N,N,06YQSR-E,Germany,NDB CDS EUR SR 5Y D14,SR,5/13/2019,0.0025,,0,0.0140625
RABO,Rabobank,DG3RU1DBUFHT4ZF9WN62,Y,N,003HVD-E,Netherlands,RABOBK CDS EUR SUB 5Y D14,SUB,1/3/2006,0.02,,0.02,0.0106875
NWGHOLDCO,RBS,2138005O9XJIJN4JPN90,N,Y,NWG-GB,UK,NWGHOLDCO CDS EUR SUB 5Y D14,SUB,1/3/2006,,,,
SAB,Sabadell,SI5RG2M0WQQLZCXKRM20,Y,Y,SAB-ES,Spain,SABADELL CDS EUR SUB 5Y D14,SUB,1/3/2006,0.0025,,0,0.01209375
SANT,Santander,5493006QMFDDMYWIAM13,Y,Y,SAN-ES,Spain,SANTA CDS EUR SUB 5Y D14,SUB,1/3/2006,0.01,0.01,0.01,0.0084375
SEB,Skandinaviska Enskilda Banken,F3JS33DEI6XQ4ZBPTN86,Y,Y,SEB.A-SE,Sweden,SEB CDS EUR SUB 5Y D14,SUB,1/3/2006,0.01,,0.01,0.010125
SOCG,Societe Generale,O2RNE8IBXP4R0TD8PU41,Y,Y,GLE-FR,France,SOCGEN CDS EUR SUB 5Y D14,SUB,1/3/2006,0.01,0.01,0.01,0.011925
STANLNHCO,Standard Chartered,U4LOSYZ7YG4W3S5F2G91,N,Y,STAN-GB,UK,STANLNHCO CDS EUR SUB 5Y D14,SUB,1/3/2006,,,,
SWED,Swedbank,M312WZV08Y7LYUC71685,Y,Y,SWED.A-SE,Sweden,SWEDA CDS EUR SUB 5Y D14,SUB,1/3/2006,0.01,,0.01,0.010125
UNIC,Unicredit,549300TRUWO2CD2G5692,Y,Y,UCG-IT,Italy,UCGIM CDS EUR SUB 5Y D14,SUB,1/3/2006,0.01,0.01,0.01,0.00984375
VB,Volksbank,724500A1FNICHSDF2I11,Y,N,,Netherlands,,,1/3/2006,0.01,,0.01,0.016875
